식품명,총개수,유효개수,제거개수,대표행 필터통과
스트로베리,5,0,5,FALSE
시몬카스테라,5,0,5,FALSE
양념돼지갈비,5,0,5,FALSE
양배추즙,5,0,5,FALSE
열무김치,5,0,5,FALSE
오렌지마멀레이드,5,0,5,FALSE
오로라,5,0,5,FALSE
오리엔탈소스,5,0,5,FALSE
오징어초무침,5,0,5,FALSE
요거트마카롱,5,0,5,FALSE
유기농석류착즙주스,5,0,5,FALSE
잉글리쉬머핀,5,0,5,FALSE
전복내장죽,5,0,5,FALSE
주꾸미볶음,5,0,5,FALSE
참진한기름,5,0,5,FALSE
참치김치볶음,5,0,5,FALSE
찹쌀떡,5,0,5,FALSE
초고추장,5,0,5,FALSE
치즈닭갈비볶음밥,5,0,5,FALSE
칠리소스,5,0,5,FALSE
칼국수,5,0,5,FALSE
케냐,5,0,5,FALSE
콘샐러드,5,0,5,FALSE
콘치즈빵,5,0,5,FALSE
콜롬비아,5,0,5,FALSE
통단팥죽,5,0,5,FALSE
통등심돈까스,5,0,5,FALSE
파김치,5,0,5,FALSE
파인애플아이스,5,0,5,FALSE
하루하나 유기농 레몬즙,5,0,5,FALSE
한우곰탕,5,0,5,FALSE
한우미역국,5,0,5,FALSE
호두강정,5,0,5,FALSE
호박즙,5,0,5,FALSE
혼합강정,5,0,5,FALSE
훈제닭가슴살샐러드,5,0,5,FALSE
흑임자인절미,5,0,5,FALSE
스파게티니,12,8,4,TRUE
국화빵,9,5,4,TRUE
야채죽,9,5,4,FALSE
초코쿠키,9,5,4,TRUE
에그불고기버거,8,4,4,FALSE
밀또띠아,7,3,4,FALSE
석류즙100,7,3,4,FALSE
아몬드초코볼,7,3,4,TRUE
초코소라빵,7,3,4,FALSE
황치즈쿠키,7,3,4,TRUE
김치제육덮밥,6,2,4,FALSE
땅콩쿠키,6,2,4,FALSE
링귀니,6,2,4,FALSE
식빵,6,2,4,FALSE
얼그레이마들렌,6,2,4,TRUE
오레오마카롱,6,2,4,FALSE
치킨데리야끼볶음밥,6,2,4,FALSE
쿠키슈,6,2,4,FALSE
플레인 치아바타,6,2,4,FALSE
간장돼지불고기,5,1,4,FALSE
고구마샐러드,5,1,4,FALSE
고구마앙금빵,5,1,4,FALSE
꿀떡,5,1,4,FALSE
낙지볶음밥,5,1,4,FALSE
녹차마카롱,5,1,4,FALSE
달콤바삭크룽지,5,1,4,FALSE
돼지고기김치찌개,5,1,4,FALSE
딸기롤,5,1,4,FALSE
라즈베리마카롱,5,1,4,FALSE
맥주효모 비오틴,5,1,4,TRUE
버터와플,5,1,4,TRUE
베이컨감자스프,5,1,4,TRUE
블루베리식빵,5,1,4,FALSE
사계담 김장김치,5,1,4,FALSE
생강젤리,5,1,4,FALSE
야채김밥,5,1,4,TRUE
얼그레이 휘낭시에,5,1,4,FALSE
얼그레이스콘,5,1,4,FALSE
에그 포테이토 샌드위치,5,1,4,TRUE
잡곡식빵,5,1,4,FALSE
전복삼계죽,5,1,4,FALSE
절편,5,1,4,FALSE
종합전병,5,1,4,TRUE
차돌박이된장찌개,5,1,4,FALSE
춘천식닭갈비,5,1,4,FALSE
치킨마요덮밥,5,1,4,FALSE
카스텔라,5,1,4,FALSE
콜드브루,5,1,4,TRUE
콩나물무침,5,1,4,FALSE
통밀쿠키,5,1,4,FALSE
허니카스테라,5,1,4,FALSE
화이트롤,5,1,4,TRUE
ABC 주스,4,0,4,FALSE
ABC착즙주스,4,0,4,FALSE
B.E.L.T샌드위치,4,0,4,FALSE
NFC 유기농 레몬즙,4,0,4,FALSE
NFC 유기농 레몬즙 100,4,0,4,FALSE
YO JAPCHAE Original 요 잡채 오리지널,4,0,4,FALSE
YO JAPCHAE Spicy 요 잡채 매콤,4,0,4,FALSE
YO JAPCHAE Sweet 요 잡채 달콤,4,0,4,FALSE
갈릭크로와상,4,0,4,FALSE
갈치조림,4,0,4,FALSE
건새우볶음,4,0,4,FALSE
겉절이,4,0,4,FALSE
계란찜,4,0,4,FALSE
계피향캔디,4,0,4,FALSE
고구마무스,4,0,4,FALSE
고려홍삼비타민캔디,4,0,4,FALSE
고려홍삼정과,4,0,4,FALSE
군고구마빵,4,0,4,FALSE
규동,4,0,4,FALSE
그릭요거트,4,0,4,FALSE
김치전,4,0,4,FALSE
까눌레,4,0,4,FALSE
깐양파,4,0,4,FALSE
깐풍기,4,0,4,FALSE
깻잎전,4,0,4,FALSE
꽃빵,4,0,4,FALSE
꿀유자차,4,0,4,FALSE
내장탕,4,0,4,FALSE
녹차아이스크림,4,0,4,FALSE
누룽지맛캔디,4,0,4,FALSE
뉴전주비빔삼각김밥,4,0,4,FALSE
느와르,4,0,4,FALSE
단호박스프,4,0,4,FALSE
달고나,4,0,4,FALSE
당근볶음,4,0,4,FALSE
당근사과주스,4,0,4,FALSE
당근주스,4,0,4,FALSE
당밸런스,4,0,4,FALSE
델몬트망고,4,0,4,FALSE
도라지나물,4,0,4,FALSE
도라지초무침,4,0,4,FALSE
동치미,4,0,4,FALSE
돼지고기 장조림,4,0,4,FALSE
돼지고기고추장찌개,4,0,4,FALSE
돼지국밥,4,0,4,FALSE
디카페인,4,0,4,FALSE
딸기롤케이크,4,0,4,FALSE
딸기생크림케이크,4,0,4,FALSE
딸기시럽,4,0,4,FALSE
딸기주스,4,0,4,FALSE
딸기케이크,4,0,4,FALSE
딸기타르트,4,0,4,FALSE
땅콩샌드,4,0,4,FALSE
땅콩알사탕,4,0,4,FALSE
뚝배기불고기,4,0,4,FALSE
뚝불고기,4,0,4,FALSE
레버케제,4,0,4,FALSE
마라로제떡볶이,4,0,4,FALSE
마라소스,4,0,4,FALSE
말차마카롱,4,0,4,FALSE
망고,4,0,4,FALSE
망고젤리,4,0,4,FALSE
