식품명,총개수,유효개수,제거개수,대표행 필터통과
커피_카페 라떼 아이스(ICED) (L),9,7,2,TRUE
라떼_초코 라떼 아이스(ICED),7,5,2,TRUE
라떼_초코 라떼 핫(HOT),7,5,2,TRUE
커피_카페 라떼 아이스(ICED) (R),7,5,2,TRUE
커피_카페 라떼 핫(HOT) (R),7,5,2,TRUE
라떼_그린티 라떼 아이스(ICED),6,4,2,TRUE
커피_카페모카 아이스(ICED) (L),6,4,2,TRUE
피자_불고기 피자,6,4,2,TRUE
피자_콤비네이션 피자,6,4,2,TRUE
깻잎김치,5,3,2,TRUE
녹두빈대떡,5,3,2,FALSE
라떼_고구마 라떼 아이스(ICED) (L),5,3,2,TRUE
라떼_고구마 라떼 핫(HOT) (L),5,3,2,TRUE
맛살전,5,3,2,FALSE
오징어국,5,3,2,FALSE
짬뽕,5,3,2,FALSE
참치죽,5,3,2,FALSE
커피_돌체 라떼 아이스(ICED),5,3,2,FALSE
커피_바닐라 라떼 핫(HOT) (L),5,3,2,TRUE
커피_카페모카 핫(HOT) (L),5,3,2,TRUE
커피_콜드브루 라떼,5,3,2,FALSE
커피_헤이즐넛 라떼 아이스(ICED),5,3,2,TRUE
피자_페퍼로니 피자,5,3,2,TRUE
피자_핫치킨 피자 (L),5,3,2,FALSE
갈치찌개,4,2,2,FALSE
고등어구이,4,2,2,FALSE
고등어구이_기름,4,2,2,FALSE
고등어조림_배추김치,4,2,2,TRUE
고추튀김,4,2,2,FALSE
김치찌개_돼지고기_두부,4,2,2,FALSE
다시마무침,4,2,2,FALSE
달걀말이,4,2,2,FALSE
달걀부침(달걀후라이),4,2,2,FALSE
달걀찜_새우젓,4,2,2,FALSE
대구지리,4,2,2,FALSE
돼지갈비구이,4,2,2,TRUE
돼지고기볶음_돼지고기_채소,4,2,2,FALSE
돼지불고기_고추장,4,2,2,FALSE
땅콩조림,4,2,2,FALSE
머핀_블루베리 머핀,4,2,2,TRUE
모밀국수,4,2,2,FALSE
묵밥,4,2,2,FALSE
배추 된장국_소고기,4,2,2,FALSE
소고기볶음_버섯,4,2,2,FALSE
스무디_딸기 스무디,4,2,2,FALSE
아욱 된장국,4,2,2,FALSE
어묵 우동,4,2,2,FALSE
얼갈이 겉절이,4,2,2,TRUE
얼갈이 된장국,4,2,2,FALSE
오징어찌개,4,2,2,FALSE
와플_생크림 와플,4,2,2,FALSE
우동,4,2,2,FALSE
커피_연유 라떼 핫(HOT),4,2,2,FALSE
커피_카라멜 마끼아또 아이스(ICED),4,2,2,FALSE
커피_카페모카 아이스(ICED) (R),4,2,2,FALSE
커피_콜드브루 아이스(ICED),4,2,2,FALSE
코다리조림_무,4,2,2,TRUE
탕수육,4,2,2,FALSE
팥밥,4,2,2,FALSE
피자_슈퍼슈프림 피자 (L),4,2,2,FALSE
호박전,4,2,2,FALSE
갈치조림_무,3,1,2,FALSE
과ㆍ채주스_키위 주스 (R),3,1,2,FALSE
국수,3,1,2,TRUE
굴전,3,1,2,TRUE
달걀 샐러드,3,1,2,FALSE
돌나물,3,1,2,FALSE
된장국_미역,3,1,2,FALSE
두부 달걀찜,3,1,2,FALSE
떡볶이_간장,3,1,2,FALSE
라떼_민트초코 라떼 아이스(ICED),3,1,2,FALSE
라떼_초코 라떼 아이스(ICED) (L),3,1,2,TRUE
라떼_초코 라떼 핫(HOT) (L),3,1,2,TRUE
레몬차_레몬티,3,1,2,TRUE
마늘쫑볶음_건새우,3,1,2,FALSE
마카롱_블루베리 마카롱,3,1,2,FALSE
